[00:00 - 00:03]  романтизма, активистов и пессимистов.
[00:03 - 00:07]  Пессимисту Мартосу Жуковского, который принял состояние
[00:07 - 00:12]  происходящего на данный момент, который ушел, куда
[00:12 - 00:15]  Жуковский ушел у нас, ну-ка напомните мне.
[00:16 - 00:23]  В Дума, Жуковский ушел в религию и в мир, а да,
[00:23 - 00:24]  и в судьбу.
[00:24 - 00:27]  В религию, в мистику, в мир грез потусторонний.
[00:27 - 00:31]  Вы знаете, Жуковский был замечательным переводчиком, я вам рассказывала.
[00:32 - 00:39]  Он перевел произведение, что я вам сказала, «Лесной царь», да, помните, перевел, он говорил.
[00:39 - 00:49]  Он не просто переводил, а он дополнял со словами русского языка свое отношение к данному стихотворению,
[00:49 - 00:58]  свои эмоции пытался передать через эти переводы, что даже эти стихотворения получались лучше оригиналов.
[00:58 - 01:29]  Жуковский принял ситуацию, происходящую внутри страны, он что делал, он просто мистический, да, он использовал различные, он не мог изменить мир, но он поэтому ходил в реальность, в мистику, в мир грез, потусторонние, он использовал такие жанры, как баллада, мистическая страшная история, да, дальше что, следующие, мы еще просмотрели Рылеева, да,
[01:29 - 01:32]  Это была какая фигура?
[01:33 - 01:37]  Декабрист, руководитель тайного северного сообщества.
[01:38 - 01:51]  Был человек, который в 1826 году, в 1825 году было подавление декабристского восстания.
[01:52 - 01:54]  Мы про это с вами разговаривали.
[01:54 - 02:07]  Рылеев был человеком, прославился он стихотворениями Временщику, гражданин, написал настоящий манифест декабризма.
[02:08 - 02:14]  Он даже высмеивал, например, государственных деятелей через произведение Временщику.
[02:14 - 02:22]  Он сарказмом писал в виде сатира, что тот душил свободу людей, не давал им развиваться.
[02:23 - 02:25]  Любимым жанром Рылеева была Дума.
[02:25 - 02:35]  Дума – это стихотворение песни об историческом герое.
[02:35 - 02:46]  Через Ермака, через Сусанина он хотел показать, что национальные герои и раньше существовали, и тоже и раньше за свой народ выступали.
[02:46 - 02:53]  И он говорил то, что не нужно спать, не нужно сидеть сложа руки, когда вокруг страдает народ.
[02:53 - 02:55]  Помнили мы это? Да, все.
[02:55 - 02:58]  Дальше мы с вами записали это все.
[02:59 - 03:01]  Так, Жуковского записали, да?
[03:02 - 03:03]  Записали.
[03:03 - 03:06]  Реализм, пишем определение реализма.
[03:11 - 03:15]  Продолжаем.
[03:15 - 03:17]  Эта лекция у нас не закончилась.
[03:17 - 03:18]  Продолжаем.
[03:18 - 03:22]  Просто на полях можете число писать, если вам удобно.
[03:23 - 03:25]  Реализм – это правдивое изображение.
[03:29 - 03:39]  Это правдивое изображение типических характеров.
[03:41 - 03:42]  Типических.
[03:42 - 03:44]  Не типичных, а типических.
