[00:00 - 00:01]  ресурсы, правильно?
[00:02 - 00:05]  Все хорошо, помните.
[00:06 - 00:08]  Офигеть, с прокуратой выглядеть.
[00:12 - 00:16]  Выйти можно по одному.
[00:16 - 00:18]  Вы хотели мне что-то показать.
[00:18 - 00:19]  Да, давайте.
[00:19 - 01:04]  Вы должны выбрать,
[01:04 - 01:07]  и у вас должно чуть больше, чем вы написали.
[01:07 - 01:11]  Погреть, загрязнение
[01:11 - 01:12]  мирового океана.
[01:13 - 01:13]  Это, это, это.
[01:14 - 01:21]  Итак, ресурсообеспеченность.
[01:21 - 01:24]  Сами понятия, да?
[01:27 - 01:29]  Ресурсообеспеченность.
[01:34 - 02:01]  Загрязнение мирового ресурса, а загрязнение – это экологическая проблема.
[02:02 - 02:11]  Если вот здесь вот будет, да, ресурсы мирового вписано, а это как последний…
[02:11 - 02:13]  Что-то вчера.
[02:13 - 02:24]  Что-то у вас было ресурсов, которые используют человека, рыжий, бодрости, далее я хочу сказать, отдых и тому подобное.
[02:24 - 02:26]  Ваши 10 тысяч часов наиграли.
[02:26 - 02:27]  Неизбежно.
[02:28 - 02:29]  Меня снова наиграли.
[02:30 - 02:32]  Так, аккаунт, скорее всего, породали.
[02:33 - 02:38]  За конспектирование вопроса Мирового океана.
[02:38 - 02:39]  Итак, ресурсообеспеченность.
[02:45 - 02:46]  Соотношение.
[02:46 - 02:47]  Ресурсообеспеченность.
[02:47 - 02:48]  А тема?
[02:49 - 02:51]  Ресурсообеспеченность.
[02:51 - 02:53]  Это первый такой вопрос.
[02:56 - 02:56]  Ценка.
[02:58 - 02:59]  Ресурсообеспеченность.
[03:01 - 03:04]  Ресурсообеспеченность.
[03:04 - 03:05]  Это соотношение.
[03:07 - 03:09]  Соотношение.
[03:22 - 03:39]  величиной природных ресурсов и размерами используют.
[03:49 - 03:50]  И тут же вопрос.
[03:51 - 03:55]  Еще раз хочу, ребята, подчеркнуть, что экономическая география,
[03:56 - 03:59]  это география, которая касается каждого человека,
[03:59 - 04:03]  живущего на любой территории, на планете.
[04:03 - 04:10]  Итак, предположим, для меня важно, чтобы вы уяснились,
[04:10 - 04:15]  из чего складываются этапы сложения экономики,
[04:17 - 04:23]  развитие общества, сложить определенные, уже начиная
[04:23 - 04:28]  с этого занятия, определенные знания по экономической
[04:28 - 04:31]  биографии, что такой ресурс обеспечить.
[04:31 - 04:35]  Итак, предположим, ребята, у вас есть сберегательная
[04:35 - 04:38]  книжка, сберегательная книжка.
[04:38 - 04:43]  На сберегательную книжку ваша бабушка с дедушкой
[04:43 - 04:49]  решили вам положить по одному миллиону, один миллион
[04:49 - 04:59]  рублей, положенные вашими бабочками и дедушками на вашу сберегательность, что вы будете делать?
[04:59 - 05:11]  Я даюсь минуту, подумайте, что вы будете делать? Это обеспеченность?
[05:13 - 05:21]  Обеспеченность. Хорошо, хорошо. Нет, это не обеспеченность, смотря какая еще.
[05:23 - 05:27]  Так, что вы будете делать? Положим миллион рублей.
[05:29 - 05:34]  Я даже не знаю, что с миллионами рублями делать.
[05:34 - 05:36]  Так, что вы будете делать?
[05:40 - 05:42]  Я оставлю, чтобы дальше копились.
[05:42 - 05:44]  Так, отлично. Ваш вариант, ребята.
[05:45 - 05:46]  Волок, поднимем я.
[05:47 - 05:48]  Тебе надо на дизайнике.
[05:48 - 05:54]  У нас же здесь совместить и то образование.
[05:54 - 05:54]  Нет, просто.
[05:56 - 06:00]  А ты что сейчас не переводишься?
[06:00 - 06:02]  Они же тоже...
[06:02 - 06:04]  У них и рисование, и чертеж.
[06:05 - 06:06]  Итак, что вы будете делать?
[06:09 - 06:13]  Деньги выложите в какую-то определенную область.
[06:13 - 06:16]  Так, что вы будете делать?
[06:16 - 06:18]  Пытаться открыть бизнес.
[06:18 - 06:19]  Открыть бизнес.
[06:19 - 06:21]  Так, пожалуйста, вы что будете делать?
[06:23 - 06:25]  Не знаю, да, пока оставлю.
[06:25 - 06:26]  Что вы будете делать?
[06:31 - 06:37]  Ты понимаешь, в будущем этот миллион рублей, может, ничего не значит.
[06:38 - 06:41]  Если ты, допустим, поможешь на сберегательный счет,
[06:42 - 06:46]  то твои деньги могут просто гореть, как в 90-х, после дефолта.
[06:46 - 06:47]  А, я прошу бы все 10 лет.
[06:49 - 06:53]  За твои же 20 лет, это уже никак не было за 10 лет.
[06:53 - 06:56]  да, из-за этого я был соромненьким
[06:56 - 06:59]  стим?
[06:59 - 07:05]  ой, Синфи там вообще проебался
[07:05 - 07:09]  миллиона за трехсот тысяч поднялся
[07:09 - 07:11]  рублей
[07:11 - 07:13]  или опустился, начинал
[07:13 - 07:15]  нет, я прикровал это вообще не буду ставить
[07:15 - 07:18]  или лучше накупить мне коинов
[07:18 - 07:20]  коинов накупить, короче
[07:20 - 07:23]  стим просто положить, им все и накупить
[07:23 - 07:28]  ну многие
[07:28 - 07:31]  Кстати, мой друг такой тупой.
[07:31 - 07:39]  И, короче, все дополнения и игры покупал не на весенних и так далее, скидках.
[07:43 - 07:48]  Прикинь, он 20-ку потратил, а мог 7 тысяч сэкономить на скидках.
[07:48 - 07:50]  Ресурсообеспеченность.
[07:51 - 08:02]  Эта определенная сумма могла бы вам на какой-то этап не полностью обеспечить вашу жизнь,
[08:03 - 08:06]  а помочь в каких-то достижениях.
[08:06 - 08:13]  Я инвестирую, вкладываю, получаю проценты, я их кладу для накапливания банк.
[08:14 - 08:18]  Если у меня плохие условия, я сразу, зная, что цены растут,
[08:18 - 08:22]  я сразу возьму и вложу улучшение жилищного вопроса.
[08:22 - 08:24]  Итак, совершенно верно.
[08:24 - 08:27]  Понятно, что такое ресурсообеспеченность.
[08:28 - 08:35]  Определенные возможности, выраженные в деньгах, которые должны мне принести пользу.
[08:35 - 08:43]  Отлично. Теперь давайте вернёмся на государственную, будем говорить, программу и посмотрим.
[08:43 - 08:50]  Июль, конец июля, август, месяц, и вдруг бензина нет, и бензин стал почти 100 рублей.
[08:51 - 08:51]  Почему?
[08:51 - 08:55]  Ну, потому что это...
[08:55 - 08:56]  Почему?
[08:58 - 09:07]  Ну, официальная версия, то, что как бы сбивали дрон, как бы сбивали дрон и случайно задели производство.
[09:08 - 09:10]  Дроны задели производство.
[09:10 - 09:19]  И набить цену бензина, чтобы в других странах продавать подороже.
[09:20 - 09:24]  Ага, с условиями того, чтобы продавать страны подороже.
[09:24 - 09:27]  А при чем здесь население нашего государства?
[09:27 - 09:30]  Так надо ведь показывать, что дороже становится.
[09:31 - 09:34]  Что мы повышаем и для себя, и для вас мы повышаем.
[09:35 - 09:37]  Но также ни в вашем стране нет.
[09:37 - 09:47]  Машина, которая пригоняет Китай, стоит там в пределах 500 тысяч рублей, а здесь они порядка полутора миллиона.
[09:51 - 10:01]  Это же парадокс, чтобы показать, что если в нашей стране бензин увеличился в цене, то и там он должен увеличиться.
[10:01 - 10:24]  Итак, в чем дело? Была версия, что разрушен был завод или часть завода, поэтому фактически увеличили стоимость бензина. Может быть, это так, может быть, нужно было в казне деньги и тому подобное, но цена была увеличена.
[10:24 - 10:26]  И вы посмотрите, она ведь не уменьшается.
[10:26 - 10:28]  Она же стоит, да?
[10:28 - 10:34]  И вот сегодня мне кто-то сказал, выезжая, кто живет из преподавателя за городом,
[10:34 - 10:37]  я, говорит, выехал, у меня бензин нет, опять я простояла в очереди.
[10:38 - 10:41]  То есть это процесс фактически неразрешенный.
[10:42 - 10:46]  Причина, причина.
[10:49 - 10:50]  Ресурсообеспеченность упала.
[10:50 - 10:51]  Понятно, да?
[10:51 - 10:52]  Правильно ведь, да?
[10:54 - 10:54]  Ресурсообеспеченность.
[10:54 - 11:12]  Хорошо, если мы знаем, что нефть имеет определенные объемы, и эти объемы должны быть использованы на нужды людей на один год, на два года, на три года, на сколько лет.
[11:12 - 11:33]  Нефть – это ведущий двигатель энергетический, и к нему надо относиться очень-очень бережно, потому что мне должно нефти хватиться. Через 100 лет на моем государстве будут жить люди, им тоже нужен будет бензин.
[11:33 - 11:51]  Поэтому могу ли я, как от лица государства, продавать в разные государства, перекачивать нефть в сыром виде, не в переработающую, а в сыром виде, для получения определенной прибыли на нужды сегодняшнего дня?
[11:52 - 11:57]  Имею ли я право не задумываться о том, что будет завтра?
[11:57 - 12:23]  На столько машин из Китая. Это большое количество машин стоит. Я предполагал, что их будут покупать. Их покупать бензина нет. Должен ли я, как предприниматель и как министр экономики или финансов, регулировать данный процесс?
[12:24 - 12:28]  Покупки или чего? Какой процесс?
[12:28 - 12:49]  Процесс закупки автомашин и использования бензина, перерабатывать нефть не в ограниченном количестве и вести продажу, для того, чтобы удовлетворить сегодняшнее нужное население.
[12:49 - 13:04]  Я не знаю, контролировать машины, как будто бы бессмысленное количество, потому что это все равно учитывается и там, я забыл, как называется, сбор, когда машина переводит, например, с Китая.
[13:05 - 13:08]  Перевозят машину.
[13:08 - 13:10]  Ну там какой-то сбор, я забыл его название.
[13:10 - 13:21]  Есть сбор, есть налог, так называемый, да, на, на, на, не просто даже на им, а на скорость машины.
[13:23 - 13:26]  Утилизация давно уже существует.
[13:26 - 13:28]  Любую машину покупается.
[13:28 - 13:31]  Если ты машину потом не можешь продать, ты ее утилизируешь,
[13:32 - 13:33]  ты платишь за это налог.
[13:34 - 13:34]  Это все верно.
[13:35 - 13:36]  Итак, другой вопрос.
[13:36 - 13:38]  Там еще на количество лошадей.
[13:39 - 13:41]  Количество лошадей в машине.
[13:42 - 13:42]  Скорость-скорость.
[13:46 - 13:51]  Утилизация зависит от объема машин и от качества машин.
[13:51 - 13:52]  А утилизация что-то?
[13:52 - 13:53]  Утилизация, да.
[13:54 - 13:56]  Это очень непростой вопрос.
[13:56 - 14:00]  У нас нет таких громадных, в общем-то.
[14:00 - 14:07]  будем говорить, отходных машин, которые стоят, да, на видном месте, но на не видном месте их очень много.
[14:08 - 14:12]  Переработка. Итак, понятно, да?
[14:14 - 14:23]  Ресурсообеспеченность – это предполагаемые ситуации, которые основаны на природных ресурсах, необходимых для людей.
[14:23 - 15:34]  Итак, записываем. Ресурсобеспеченность исчисляется из количества лет, количество лет должно хватить данного, из количества лет, за которое хватить должно данного ресурса,
[15:34 - 15:51]  Либо запасами на душу населения.
[16:06 - 17:00]  Делить количество лет, запасы ресурсов, делят на их добычу.
[17:03 - 17:08]  Сколько лет хватит?
[17:09 - 17:12]  Вот этот запас, сколько я использую в один год.
[17:13 - 17:17]  И я определяю, что данным ресурсам не хватит на столько-то лет.
[17:17 - 18:04]  или запасы тела на душу населения, на душу населения, чтобы определить, чтобы определить,
[18:06 - 18:27]  приобретение ли вы мне перечислить продукты, которые требуют перерабатывающего сырья.
[18:29 - 18:47]  Вещи, вещи, топливо, пластик, пластик, а еда, подсолнечное масло.
[18:47 - 18:49]  А, да, солнечное масло там.
[18:49 - 18:57]  И все маслянистые, да, требуют фактически определенного продукта, получаемый из нефтепереработки.
[18:57 - 19:11]  Мы до конца этого не ощущаем, да, но это является основным, будем говорить, пунктом увеличения объема продаваемой продукции.
[19:12 - 20:20]  Итак, запишите, пожалуйста, запишите, определите, на сколько лет, на сколько лет хватит кому сообществу, сколько лет хватит мировому сообществу ресурсов, таблицу, состоящей из трех столбиков.
[20:20 - 20:22]  Да, столбиков.
[20:22 - 20:24]  Из трёх столбиков.
[20:25 - 20:27]  Из трёх столбиков.
[20:27 - 20:28]  Три столбика.
[20:31 - 20:37]  Сердцем таблицу, состоящую из трёх столбиков.
[20:41 - 20:45]  Будь здоров.
[20:55 - 21:06]  Пишем ресурсы.
[21:09 - 21:10]  Ресурсы.
[21:12 - 21:18]  Столбик.
[21:20 - 21:20]  Напасы.
[21:29 - 21:37]  Третий столбик – добыча.
[21:39 - 21:44]  Ребята, не в государстве отдельном, а в мировом масштабе.
[21:47 - 21:51]  Эти ресурсы записываем.
[21:53 - 21:53]  Уголь.
[22:01 - 22:02]  Сырая нефть.
[22:10 - 22:14]  Следующий – газ.
[22:21 - 22:26]  Следующая – железная руда.
[22:29 - 22:36]  Писание – уголь, сырая – нефть, газ, железная руда,
[22:41 - 22:45]  включайте интернет.
[22:46 - 22:49]  Вы хотите, смотрите, запасы микровые,
[22:49 - 23:24]  какие сегодня определены, добыча, добыча, запасы в мире, запасы в мире.
[23:24 - 23:27]  В этой планете, ребята, я подозреваю,
[23:27 - 23:33]  что мы не учитываем экономические запасы мирового океана.
[23:34 - 23:39]  Мы их как бы заслеживаем, но конкретно мы не можем определить.
[23:39 - 23:41]  У меня такое, как говорится, впечатление.
[24:48 - 25:55]  Будь здоров.
[26:08 - 26:23]  Видите, можно выйти?
[26:25 - 31:06]  Так, задание вы умерли.
[31:09 - 31:14]  В пятницу и субботу нет.
[31:15 - 31:17]  На пятницу и на субботу нет.
[31:18 - 31:19]  Да, я знаю.
[31:19 - 31:23]  На пятницу и субботу ребята выборы, да, неизвестно как.
[31:23 - 31:25]  Это очень сложно сказать.
[31:25 - 31:31]  Потому что курсники могут уехать, голосовать, что там будет.
[31:31 - 31:33]  А четвертый должен быть.
[31:34 - 31:37]  Есть уже описание.
[31:37 - 31:39]  Есть уже описание.
[31:39 - 31:42]  Показали.
[32:11 - 34:30]  Азотчий запас угля.
[34:30 - 34:33]  Триллиона.
[34:33 - 34:34]  Сколько?
[34:34 - 34:37]  Один и один триллион тонн.
[34:37 - 34:40]  Один запас.
[34:41 - 34:41]  Добыча.
[34:43 - 34:50]  Добыча угля.
[34:56 - 34:57]  8 миллиардов.
[34:59 - 35:01]  Не слышно.
[35:01 - 35:03]  Громко, прямо скажи громко.
[35:03 - 35:04]  8,5 миллиарда тонн.
[35:04 - 35:07]  8,5 миллиарда тонн.
[35:08 - 35:09]  На сколько лет?
[35:10 - 35:14]  Ну, на 150-200 лет.
[35:14 - 35:16]  На 150-200 лет, да?
[35:17 - 35:19]  А сколько человек живет на Земле?
[35:20 - 35:23]  Больше 8 миллиардов.
[35:23 - 35:25]  Там 8 миллиардов.
[35:26 - 35:27]  Что-то больше 8 миллиардов.
[35:28 - 35:29]  9 уже вроде как.
[35:29 - 35:34]  Не население, а время появления человека.
[35:34 - 35:37]  И когда он начал все это использовать, да?
[35:38 - 35:43]  200 лет для Земли это как вероответствие, ребята, это ничего.
[35:43 - 35:51]  100 лет это век, 20-й век прошел, 21-й, это 2 века на 200 лет.
