[00:00 - 00:09]  У меня не девушки.
[00:10 - 00:11]  А было?
[00:11 - 00:12]  Не было.
[00:17 - 00:20]  Потому что сейчас это не та любовь.
[00:22 - 00:28]  Все девушки, которые были у моих друзей, они меняли как перчатки.
[00:28 - 00:33]  Чаще всего типа в лагере познакомились, поговорили и потом бросили.
[00:33 - 00:36]  Перчатки.
[01:22 - 01:36]  Худряш тиры смел, но пункт ради себя, но пункт – себя.
[01:36 - 01:38]  Что за заключается?
[01:43 - 01:46]  Так всё написали?
[01:46 - 01:58]  Нет.
[01:58 - 02:00]  Написали?
[02:00 - 02:01]  Нет.
[02:01 - 02:02]  Смотри.
[02:02 - 02:05]  Тихо, добрый, но слабоходный.
[02:05 - 02:10]  Тиры, рот зависит от дикого.
[02:10 - 02:15]  Барбарит тупо
[02:15 - 02:16]  Барбарит тупо
[02:16 - 02:18]  Они стал толкать
[02:18 - 02:21]  Варбарит тупо
[02:21 - 02:23]  Что же твои фасовки?
[02:23 - 02:27]  Кто?
[02:27 - 02:28]  Фасовки
[02:28 - 02:29]  Как фасовки?
[02:29 - 02:31]  Носки, соски
[02:31 - 02:35]  Нет, хотя бы это...
[02:35 - 02:38]  Это же на шоке для них как мужик
[02:38 - 02:40]  Что тебе соски?
[02:40 - 02:41]  Не нравится?
[02:41 - 02:44]  Тебе что, нарушаются мужские соски?
[02:44 - 02:47]  Барбарит тупо
[02:47 - 02:48]  Беспосабливать тебя обман
[02:48 - 02:51]  Ты бы и так не ответил
[02:51 - 02:52]  Что?
[02:52 - 02:53]  Нет, нет.
[02:54 - 02:56]  Такой, что плывал в рост.
[02:56 - 02:57]  С кем я не знаю, блядь?
[02:57 - 02:59]  Ты же что-то везел.
[02:59 - 03:00]  Ты бы ему сказал да или мне сказал?
[03:00 - 03:02]  Нет, никого это не так.
[03:02 - 03:04]  Краса, да, символик краса.
[03:04 - 03:05]  Ты тупой.
[03:05 - 03:07]  Какой у нас срок заходил?
[03:07 - 03:13]  Ну, когда тебя первый в пиесе скидывал в рост кафе и закончил.
[03:13 - 03:16]  У нас пять минут осталось правильно.
[03:16 - 03:21]  Так, краса в пиесе это не просто погодная история и способная.
[03:21 - 03:23]  Символика краса и кросс.
[03:23 - 03:25]  Я вам расскажу, вы потом выводы сделаете.
[03:26 - 03:31]  Гроза, гнессия, это не просто предъявление там покажено, это главный символ.
[03:31 - 03:33]  Гроза, это символ получается.
[03:34 - 03:34]  Греха.
[03:34 - 03:36]  Греха, гнева, да, молодец мне.
[03:36 - 03:40]  Гроза, не смотри, Екатерина что делает?
[03:40 - 03:42]  Нет, отградцы.
[03:44 - 03:45]  Нет, отградцы.
[03:46 - 03:47]  Кто перегирует на грозу?
[03:50 - 03:57]  То, что, типа гнев, вино, гнев.
[03:59 - 04:03]  Она говорит, что у них гроза у меня, но гроза...
[04:03 - 04:07]  Символ очищения получается.
[04:08 - 04:15]  В финале Тихона говорит, хорошо тебе, Катя, а я-то зачем осталась жить на свете и не мучиться.
[04:16 - 04:17]  Да, говорит?
[04:19 - 04:20]  Я на пункте не понял.
[04:21 - 04:23]  Катерина, в душе Тихона.
[04:23 - 04:27]  Возьмите, Катерина, в душе Тихона меняется.
[04:28 - 04:28]  Правда, что идет?
[04:28 - 04:32]  Нет, но если я уйду, она меня накажет.
[04:33 - 04:36]  И покупала Кудина на Трамп.
[04:37 - 04:38]  А вы что же кушите-то?
[04:40 - 04:42]  Три минуты осталось, что ли?
[04:43 - 04:43]  Да.
[04:44 - 04:47]  Смотрите, домашнее задание
[04:47 - 04:51]  дать произведение Гончарова
[04:51 - 04:52]  одно уж пишет.
[04:53 - 04:55]  Я слышу даже, как пишет.
[04:56 - 04:59]  Так, никто не читает произведение,
[04:59 - 05:01]  значит, вы создавайте взамен с билетом.
[05:02 - 05:04]  Не прочитай.
[05:04 - 05:07]  Так вот, Гончарова не прочитаете,
[05:07 - 05:10]  Значит, все, у вас больше помощи не будет получения автомата.
[05:11 - 05:12]  К разу надо прочитать.
[05:12 - 05:19]  Нужно будет прочитать Вычарова произведение обломов.
[05:20 - 05:20]  Пишем.
[05:20 - 05:25]  Прочитать произведение Вычарова обломов.
[05:26 - 05:29]  И написать мини-сочинение пишем.
[05:29 - 05:34]  И написать мини-сочинение.
[05:34 - 05:42]  5-7 предложений на тему.
[05:42 - 05:44]  Что такое обломщина?
[05:44 - 05:47]  Что такое обломовщина?
[05:47 - 05:50]  В кавычки берем.
[05:50 - 05:52]  Что такое обломовщина?
[05:56 - 06:01]  Что такое обломовщина?
[06:01 - 06:05]  Это название тема.
[06:05 - 06:06]  Что такое обломовщина?
[06:07 - 06:09]  И есть ли она во мне?
[06:10 - 06:12]  Знак вопроса.
[06:13 - 06:15]  Это название мини-сочинения.
[06:15 - 06:18]  Нужно написать 5 предложений.
[06:18 - 06:20]  Чтобы написать мини-сочинение,
[06:20 - 06:24]  Вначале нужно произведение Ванчарова прочитать.
[06:24 - 06:28]  А вот, произведение читается легко.
[06:30 - 06:37]  Смотрите, если не будете читать, я вам автомат поставить не смогу.
[06:37 - 06:38]  Мы с вами договорились.
[06:39 - 06:43]  Пока вы Грозу не читали, еще что не читали вы мне?
[06:43 - 06:46]  А Кушкина сдали. Кушкина все нормально.
[06:46 - 06:50]  Грозу я прощаю, но Аблова я прости.
[06:50 - 06:52]  Понятно? Хорошего дня.
[06:54 - 09:10]  Субтитры сделал DimaTorzok
[09:10 - 09:16]  Я еще раз, разочек, вспомнил, как ему советы, как вообще.
[09:16 - 09:16]  Вольфин, о, 4, 8, 0, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2
[09:16 - 10:30]  Вольфы, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о,
[10:30 - 10:40]  Он вспоминает, увидев кого, как Савельев подбегает, и в лице Савельева узнают, что они у него сгорели за чтуру.
[10:40 - 11:13]  Долгите, пожалуйста, в коридор, если вы хотите пообщаться.
[11:13 - 11:17]  Человек сдает свой звук, вы сдавайте.
[11:18 - 11:20]  Вышли из коридор.
[11:22 - 11:26]  Кто хочет пообщаться, вышли из коридор.
[11:27 - 11:28]  Дверь закрыли.
[11:30 - 11:35]  Сидим в тишине, дверь закрыли.
[11:39 - 11:42]  Дверь закрыли!
[11:42 - 11:44]  Дверь закрыли!
[11:44 - 11:50]  Дверь закрыли, говорю, а?
[11:50 - 11:56]  Идёт в коридор и общается спокойно.
[11:56 - 11:58]  Никто ваши права не ущемляет.
[11:58 - 12:01]  Здесь мы парень открыли. Давай!
[12:59 - 13:02]  Субтитры создавал DimaTorzok
